stage,team,player_key,league,salary,season,season_end,season_start,team.1,name,position,points_per_game,rebounds_per_game,assists_per_game,blocks_per_game,steals_per_game,turnovers_per_game,player_utility,player_value
Playoffs,LAL,Robert Horry (1999 - 2000),NBA,4800000,1999 - 2000,2000,1999,Los Angeles Lakers,Robert Horry,PF,7.608695652173912,5.3478260869565215,2.5217391304347827,0.8260869565217391,0.8695652173913043,1.3043478260869563,19.89565217391304,4.144927536231883
Playoffs,MIA,Jamal Mashburn (1999 - 2000),NBA,5600000,1999 - 2000,2000,1999,Miami Heat,Jamal Mashburn,SF,17.5,4.9,3.2,0.2,1.1,2.4,28.38,5.067857142857143
Playoffs,NYK,Charlie Ward (1999 - 2000),NBA,4540000,1999 - 2000,2000,1999,New York Knicks,Charlie Ward,PG,9.375,4.25,3.625,0.3125,1.375,1.25,22.0375,4.854074889867841
Playoffs,POR,Damon Stoudamire (1999 - 2000),NBA,10125000,1999 - 2000,2000,1999,Portland Trail Blazers,Damon Stoudamire,PG,8.875,2.625,3.625,0.25,0.5,1.1875,17.775,1.7555555555555553
Playoffs,UTA,Bryon Russell (1999 - 2000),NBA,4000000,1999 - 2000,2000,1999,Utah Jazz,Bryon Russell,SF,14.0,5.2,2.1,0.5,1.6,1.5,26.09,6.5225
Playoffs,PHI,Aaron McKie (1999 - 2000),NBA,1624000,1999 - 2000,2000,1999,Philadelphia 76ers,Aaron McKie,SF,13.8,3.6,4.6,0.2,0.4,1.6,24.62,15.160098522167488
Playoffs,PHI,Theo Ratliff (1999 - 2000),NBA,7031250,1999 - 2000,2000,1999,Philadelphia 76ers,Theo Ratliff,C,13.0,7.9,0.9,3.0,1.0,1.7,30.130000000000006,4.285155555555557
Playoffs,SEA,Gary Payton (1999 - 2000),NBA,11020473,1999 - 2000,2000,1999,Seattle SuperSonics,Gary Payton,PG,25.8,7.6,7.4,0.2,1.8,3.6,46.42,4.212160403641477
Playoffs,PHX,Rodney Rogers (1999 - 2000),NBA,2000000,1999 - 2000,2000,1999,Phoenix Suns,Rodney Rogers,PF,14.111111111111109,6.777777777777778,1.5555555555555556,1.1111111111111112,1.1111111111111112,1.6666666666666667,27.355555555555547,13.677777777777774
Playoffs,PHI,Tyrone Hill (1999 - 2000),NBA,6422400,1999 - 2000,2000,1999,Philadelphia 76ers,Tyrone Hill,PF,12.3,9.7,0.9,0.1,0.9,1.2,26.09,4.062344294967613
Playoffs,SAC,Chris Webber (1999 - 2000),NBA,11000000,1999 - 2000,2000,1999,Sacramento Kings,Chris Webber,PF,24.4,9.6,5.4,2.0,1.6,1.6,49.62000000000001,4.510909090909092
Playoffs,LAL,Brian Shaw (1999 - 2000),NBA,1100000,1999 - 2000,2000,1999,Houston Rockets,Brian Shaw,PG,5.409090909090909,2.3181818181818183,3.0454545454545454,0.18181818181818185,0.5,0.7727272727272727,13.35,12.136363636363635
